image_num,image_name,csv_file,latitude_deg,longitude_deg,altitude_m,distance_m,bearing_deg,yolo_detected,yolo_conf,yolo_cx,yolo_cy,yolo_w,yolo_h,num_detections,image_num_normalized,yolo_area,yolo_aspect_ratio,yolo_dist_from_center,yolo_angle_from_center,yolo_in_center,bearing_rad,bearing_sin,bearing_cos,distance_x_conf,distance_x_area,bearing_x_cx,bearing_x_cy,altitude_diff_from_camera,altitude_x_distance,conf_squared,conf_sqrt,is_high_conf,is_detected,estimated_lat_offset,estimated_lon_offset,estimated_lat,estimated_lon,distance_bin,altitude_bin,distance,bearing,bearing_cat,distance_cat,altitude_cat
430,img_0430.jpg,img_0430.csv,14.3048858,101.1728649,43.6,22.273408222109584,224.47534438498823,True,0.5962430834770203,0.2988348305225372,0.4432270526885986,0.0199751537293195,0.0583250261843204,3,0.9817351598173516,0.0011650513642983,0.3424799200500015,0.209022948398781,-2.8665260128579133,0,3.9178338490662106,-0.7006022722952496,-0.7135519995450457,13.280365597893034,0.0259496646367436,67.08105149577612,99.4935452930165,43.6,971.120598483978,0.3555058145941849,0.7721677819470457,1,1,-1.1392135418370836e-05,-4.165770844152429e-05,14.30501760786458,101.17296834229155,0,0,22.315274309778218,224.47534438498823,SW,Very Close,Low
300,img_0300.jpg,img_0300.csv,14.3047214,101.1727263,58.81,45.77285490910688,221.7873683002172,True,0.5890756249427795,0.4431898891925812,0.4036833941936493,0.0119342813268303,0.0146019831299781,2,0.684931506849315,0.0001742641746027,0.817304954234573,0.1118225256556439,-2.10370191482236,1,3.8709198161720897,-0.6663681028715813,-0.7456229284801599,26.963673110997316,0.0079765687799487,98.29391918128744,89.53187762470866,58.81,2691.901597204576,0.3470100919017262,0.7675126220087716,1,1,-3.971789209830389e-05,-2.4176284012950114e-05,14.3049892821079,101.172985823716,1,1,45.872436898641936,221.78736830021722,SW,Very Close,Medium
358,img_0358.jpg,img_0358.csv,14.3045257,101.1726264,65.31,69.38157595966679,216.44735034298785,True,0.6175481081008911,0.2840642035007477,0.256567507982254,0.0081281661987304,0.0142817180603742,1,0.817351598173516,0.0001160841779981,0.5691304416643144,0.3254038204750161,-2.296408198901366,0,3.777718920702816,-0.5940838637233243,-0.8044031096804428,42.846460970950496,0.0080541032134928,61.484944175028126,55.533357286862255,65.31,4531.310725925839,0.3813656658189899,0.7858422921304828,1,1,-0.0001521597291529,-0.000139291532037,14.304876840270849,101.17287070846795,1,2,69.57254605356587,216.44735034298785,SW,Close,Medium
349,img_0349.jpg,img_0349.csv,14.3045522,101.1726595,56.83,64.90770854623494,215.4629625551748,True,0.6107922196388245,0.2790991067886352,0.4245281517505646,0.0080904327332973,0.0113742398098111,1,0.7968036529680366,9.202252207366896e-05,0.7112937440778491,0.2334377957824409,-2.812371577331789,0,3.760538112689055,-0.5801765695036616,-0.8144907293511467,39.64512337462474,0.0059729710424471,60.13552039518244,91.47009326424948,56.83,3688.705076682532,0.373067135571322,0.7815319696844297,1,1,-4.4132475041621854e-05,-0.0001333059889622,14.304984867524958,101.17287669401104,1,1,65.09308279690434,215.46296255517478,SW,Close,Medium
91,img_0091.jpg,img_0091.csv,14.3048434,101.1722395,50.66,85.6280734498353,256.03989986586856,True,0.6156538724899292,0.8677348494529724,0.4731842875480652,0.0104606635868549,0.0104232784360647,1,0.2077625570776255,0.0001090344091917,1.0035857350604327,0.3687112717784813,-0.0727924822480749,0,4.468739269135994,-0.9704639615343112,-0.2412461385455343,52.71725501324319,0.0093364063988341,222.1747439640636,121.15405760190896,50.66,4337.918200968656,0.379029690711846,0.7846361401885139,1,1,-2.0686286445440875e-05,0.0002927567206609,14.305008313713554,101.17330275672066,2,0,85.54599292270566,256.03989986586856,W,Close,Low
180,img_0180.jpg,img_0180.csv,14.304736,101.1721714,69.22,96.10904640777304,250.17224593072467,True,0.5047963857650757,0.8388855457305908,0.2194056659936905,0.0072628026828169,0.0126126185059547,1,0.410958904109589,9.160295952239388e-05,0.5758357728040566,0.4399734007659608,-0.6915773950075726,0,4.366329388600131,-0.9407165739637844,-0.3391936430268696,48.51549926597176,0.0088038730878271,209.86588105424357,54.88920823156797,69.22,6652.668192346049,0.2548193910814831,0.7104902432581855,1,1,-0.0002429518366555,0.000302812100368,14.304786048163344,101.17331281210038,2,2,96.05118136480097,250.17224593072467,W,Close,Medium
240,img_0240.jpg,img_0240.csv,14.3045936,101.1722202,52.84,97.8861918363589,240.3637655235345,True,0.5171392560005188,0.684620201587677,0.4903834462165832,0.0066602709703147,0.0121342409402132,2,0.547945205479452,8.081733268090613e-05,0.5488819213588538,0.1848704869386778,-0.0520412752607172,1,4.195139110877309,-0.8691823814227742,-0.4944916458588912,50.6207924189787,0.007910900930506,164.55788960709532,117.8704116830256,52.84,5172.306376633205,0.2674330100967701,0.7191239503733128,1,1,-8.480430886920723e-06,0.0001680182920613,14.305020519569112,101.17317801829206,2,1,97.90686363703256,240.36376552353454,SW,Close,Low
82,img_0082.jpg,img_0082.csv,14.3046228,101.1724268,48.11,77.32380465034893,234.29193983322625,True,0.5191308856010437,0.5852495431900024,0.5174670219421387,0.0093688974156975,0.0112486099824309,1,0.1872146118721461,0.0001053870729945,0.8328930509103055,0.0870205807245116,0.2020957669525358,1,4.089165760974252,-0.8120014283514212,-0.5836554466080581,40.14117518617774,0.0081489294449054,137.1192507604952,121.23835237054632,48.11,3720.048241728287,0.2694968763849239,0.7205073806707629,1,1,1.2167717049344946e-05,6.128598736125997e-05,14.305041167717048,101.17307128598736,2,0,77.3869248483029,234.29193983322625,SW,Close,Low
308,img_0308.jpg,img_0308.csv,14.3048021,101.1726654,59.21,44.86107895034853,235.80341744697745,True,0.513977587223053,0.7008089423179626,0.3594549298286438,0.0113229118287563,0.0168302748352289,2,0.7031963470319634,0.000190567718013,0.6727700653678391,0.2451064015164236,-0.61065514178024,0,4.1155460219043976,-0.8271140986608513,-0.5620340450510516,23.057589119123023,0.0085490734431704,165.25314357597728,84.76070087175768,59.21,2656.224484650136,0.264172960167631,0.7169223020823476,1,1,-5.680183323458995e-05,8.375460119807271e-05,14.304972198166764,101.1730937546012,1,1,44.89069921895669,235.80341744697745,SW,Very Close,Medium
98,img_0098.jpg,img_0098.csv,14.3046627,101.172281,52.15,88.47965382928467,242.5912392828604,True,0.5027405023574829,0.639254629611969,0.4933899939060211,0.0079268142580986,0.0116877239197492,1,0.2237442922374429,9.264641661178802e-05,0.6782165227687437,0.1394114200807419,-0.0474314457806656,1,4.234015861979322,-0.8877450086654951,-0.4603355293582063,44.48230561455076,0.0081973228703346,155.07757281487346,119.69209007142462,52.15,4614.213947197196,0.2527480127106543,0.709041960928606,1,1,-5.268928387429852e-06,0.0001145536599031,14.305023731071612,101.1731245536599,2,1,88.4801966506118,242.59123928286039,SW,Close,Low
